,Address,Description,Laundry,Price,Beds,Baths,Date Listed,Property Type,Estimated Monthly Mortgage Payment ($),Link
10,"505 - 508 Wellington St W , Waterfront Communities C1, Toronto, ON, M5V 0K8","Welcome To 508 Wellington! Located In One Of The Best Pockets In Vibrant Historic King West! Gorgeous 1 Bed 1 Bath Open Concept Unit In A Charming Boutique Bldg! Modern Euro-Style Kitchen. Private Balcony. Everything You Need At Your Doorstep. Steps To The City's Best Restaurants, Cafes, Shopping (Fashion District) & More! Perfect For First Time Buyers & Investors, Alike! Do Not Miss This Amazing Opportunity!**** EXTRAS **** Existing: Fridge, Stove, Wall-In Oven, Washer/Dryer, Microwave, Dishwasher. Concierge, Party Room W/ Deck & Bbq, Gym, 1 Locker. Walker's Paradise: Walk Score 97, Transit Score 100, Bike Score 98. Ttx King Car, Spadina Line, Gardiner. (id:7668)",Yes,495000 ,1.0,1.0,"Date Listed: Mar 10, 2022",Property Type: Condo,1874 ,https://www.remax.ca/on/toronto-real-estate/505-508-wellington-st-w-wp_id311630400-lst
11,"23 Green Lanes , Islington-City Centre West, Toronto, ON, M8Z 4V5","This 2 Bedroom Bungalow Is A True Hidden Gem Nestled In The Islington/Kingsway/Bloor Neighborhood. Perfect Opportunity For A Young Family/Investor/Retiree. Steps To Islington Station, Groceries, Restaurants, Shopping, Parks And Much More! Updated Kitchen, Good Size Rooms And Lots Of Light. Basement Has 2 Bedrooms, Kitchen, Bathroom And Separate Entrance. Private Driveway Leads To Detached Garage And Cozy Backyard. Location, Location, Location!**** EXTRAS **** Existing 2Xfridges,2Xstoves,Washer,Dryer. All Elf's, All Window Coverings. Excl. Tenants Belongings. (id:7668)",Yes,1199800 ,4.0,2.0,"Date Listed: Mar 10, 2022",Property Type: Single Family,4542 ,https://www.remax.ca/on/toronto-real-estate/23-green-lanes-wp_id311631466-lst
12,"509 - 300 Balliol St , Mount Pleasant West, Toronto, ON, M4S 3G6","Fantastic Opportunity To Move Into 300 Balliol! Davisville Village!!! Bright South Facing Unit.   Master With Walk-In Closet, Large Den, Great As A Bedroom As Well. Hardwood Floors, Walk-Out To Balcony, Parking & Locker Included. Just Move In And Unpack! You Are Minutes Away From Shopping, Restaurants, Ttc, June Rowland Park, The Belt Line, Farmers Market In The Summer.**** EXTRAS **** Fridge, Stove,Built In Microwave, Built In Dishwasher, Washer/Dryer, All Electrical Light Fixtures, Blinds (id:7668)",Yes,679000 ,2.0,1.0,"Date Listed: Mar 10, 2022",Property Type: Condo,2571 ,https://www.remax.ca/on/toronto-real-estate/509-300-balliol-st-wp_id311630408-lst
13,"613 - 942 Yonge St , Annex, Toronto, ON, M4W 3S8","*Rarely Offered*Large 1+Den 694 Sqft. Den Can Be Used As Home Office/Turned Into 2nd Bdr. Open Concept Living Space Comes W/Large Windows & Bright Southern Exposure. Conveniently Situated In A Quiet Yet Central Location, Mins Away To Yorkville,Bloor St,Restaurants,Bars,Ttc & Major Attractions Casa Loma, Royal Ont. Museum Etc.Amenities Include Gym,Exercise Rm, Rooftop Terrace, Party Rm & Guest Pkg. For 1st Time Buyers,Investors,Young Families.Must See 3D Tour!**** EXTRAS **** Hydro Included In Fees. Inclusions: Dining Room Storage Shelves, Tv Wall Mount, Lg Stacked Washer And Dryer, Stainless Steel Fridge, Range Hood And Dishwasher. 1 Parking Included. (id:7668)",Yes,649000 ,2.0,1.0,"Date Listed: Mar 10, 2022",Property Type: Condo,2457 ,https://www.remax.ca/on/toronto-real-estate/613-942-yonge-st-wp_id311631460-lst
14,"201 - 74 Sidney Belsey Cres , Weston, Toronto, ON, M6M 5J6","Spacious End Unit 3 Bedroom Stacked Condo Townhouse. Large Primary Bedroom With 4-Piece Ensuite And Walk-In Closet. Kitchen Offers A Pantry And Eat-In Breakfast Area With Upgraded Pot Lights/Counter Top. Open Concept Living/Dining Room And Walk Out To The Balcony. Updated Flooring In All 3 Bedrooms And Unpadded Stainless Steel Appliances. Comes With Underground Parking And Locker. Hot Water Tank Is Rental.**** EXTRAS **** Stainless Steel Fridge, Stainless Steel Stove, Stainless Steel Dishwasher, Stainless Steel Microwave, Washer And Dryer. All Electrical Light Fixtures. All Window Coverings. (id:7668)",Yes,710000 ,3.0,2.0,"Date Listed: Mar 10, 2022",Property Type: Townhome,2688 ,https://www.remax.ca/on/toronto-real-estate/201-74-sidney-belsey-cres-wp_id311631482-lst
15,"541 Woodbine Ave , East End-Danforth, Toronto, ON, M4E 2H7","Spectacular 4 Level Semi- Det. W/Spacious 3 Bdrm. Top-To-Bottom Fully Ultra Modern Renovated W/ Interior Cathedral Ceiling. Great Spac W/2,226 Sqf + Bsmnt. Sun-Filled Interior & Party Size Deck. All Levels Heat Flr, Ductless A/C Sys. ,14' Wind. Opens To Deck, Custom Fabricated Kitchen & Bar, Italian Made Faucets, Top Quality Quartz Counter Tops, Custom Strip Lights, Can. Eng. Hrdwd, Custom Built Marbel F/P, Italian Porcelain Tiles, High Sec. Entrance Door.**** EXTRAS **** All Brand-New S/S Appliances. Full Custom Metal& Glass Railing, New Windows, New Garage Dr, Tankless Wtr Heating Sys.(Rental: $84.21/M).Heated Floor: Keeps The Home Dry, High Efficiency & Ezy Maint, Ductless Syst: Allergy Free, Dust Free (id:7668)",No,1898000 ,3.0,4.0,"Date Listed: Mar 10, 2022",Property Type: Single Family,7186 ,https://www.remax.ca/on/toronto-real-estate/541-woodbine-ave-wp_id311638521-lst
16,"69 Craven Rd , Greenwood-Coxwell, Toronto, ON, M4L 2Z4","Move-In Ready Condo Alternative In Vibrant Leslieville. Walk To Little India, The Beach, Queen Street East, Ttc, Schools And Parks. Main Floor Primary Bedroom Could Be Used As A Family Room With Walk Out To Yard. Newly Renovated, Including Kitchen And Upstairs Bathroom (2020), Creation Of Main Floor Powder Room (2021), Main Floor Gutted To The Studs And Insulation Added (2021) In Living/Dining Area, Vinyl Plank Flooring Throughout (2020/2021).**** EXTRAS **** Stainless Steel: Fridge, Stove, Dishwasher, Range Hood (All 2020), Stacked Washer/Dryer (2020), Shed (2020). Updated Electrical/New Panel (2021), 4 New Lg Ductless Heating/Cooling Wall Units (2021), Front Window & Mud Room Window (2021). (id:7668)",Yes,829000 ,3.0,2.0,"Date Listed: Mar 10, 2022",Property Type: Townhome,3139 ,https://www.remax.ca/on/toronto-real-estate/69-craven-rd-wp_id311638523-lst
17,"1107 Queen St E , South Riverdale, Toronto, ON, M4M 1K7","Leslieville Opportunity To Invest In A 3 Story Commercial/Residential Property Full Of Upgrades, Building Expansion With Carefully Maintained Character ,Updates: Electrical,Furnace,Roof,Water,Plumbing. Commercial Store Can Be Increased. The Sweet Spot Is Not Just Location For An Investor,Seeking A Live/Work With A Life Balance In A Beautiful Part Of The City, Flexibly Floor Plans Makes It Ideal, While Still Maintaining Its Capacity For Annual Rental Income.**** EXTRAS **** Building Consists Of 4 Units, Commercial Store, Apt 1: Main & Bsmt, Patio & Parking. Apt 2: 2nd Flr 2 Br W/Sun Deck. Apt 3: 1 Br W/Sun Deck. Seller Would Like To Rent Back Apt 1 For One Year At Market Rent.3 Fridges,3 Stoves,Furnace Hwt (R) (id:7668)",No,1999000 ,5.0,5.0,"Date Listed: Mar 10, 2022",Property Type: Townhome,7568 ,https://www.remax.ca/on/toronto-real-estate/1107-queen-st-e-wp_id311638517-lst
18,"19 Old Oak Dr , Kingsway South, Toronto, ON, M9A 3P5","Newly Constructed Gorgeous Home In Highly Sought-After Kingsway South Neighborhood, Close To School, Parks And All Amenities. 3 Storeys, Back Yard + Roof Top Terrace. 3 Bedrooms + Den, Basement Full Height And Unfinished. Open Concept In Kitchen, Living & Dining Area. High Ceilings, 9' On The 1st & 3rd Floor And 10' On The 2nd. Comes With Tarion New Home Warranty.**** EXTRAS **** Water Heater Rental. Front And Back Yard Sodding And Steps To The Backyard Will Be Done In The Week Of Mar. 28. (id:7668)",No,2050000 ,3.0,4.0,"Date Listed: Mar 10, 2022",Property Type: Single Family,7761 ,https://www.remax.ca/on/toronto-real-estate/19-old-oak-dr-wp_id311638612-lst
19,"109 Alameda Ave , Oakwood-Vaughan, Toronto, ON, M6C 3W8","Amazing Opportunity! * Solid Brick Bungalow In Very Desirable Area! * Just Steps To Eglinton West Station, High Ranking Schools, Library, Parks Including Cedarvale Trails, Sport Fields, Playground, Outdoor Fitness Equipment, Skating Rink, Splash Pad And Dog Park! * This 2 + 1 Bedroom Home W 2 Kitchens * Stainless Steel Appliances On Main Incl Large Fridge & Gas Range (No Kitch Appls Included In Bsmt) * Enjoy East Light In Main Flr Fam Rm W W/O To Back Deck!**** EXTRAS **** Sellers Have Enjoyed A Very Fertile Garden In Back! * Just Mins To Allen Rd/401 & Hospitals * Furnace & Ac Approx 4 Yrs Old Or Newer! * Hwt Is A Rental (Approx 3 Yrs Old) * Incl All Elfs & Blinds * Fridge, Stove, Washer & Dryer * Must See! (id:7668)",Yes,999900 ,3.0,2.0,"Date Listed: Mar 10, 2022",Property Type: Single Family,3786 ,https://www.remax.ca/on/toronto-real-estate/109-alameda-ave-wp_id311638457-lst
